total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,days_exposition
20,13000000.0,108.0,2019-03-07T00:00:00,3,2.7,16.0,51.0,8,False,False,False,25.0,0.0,Санкт-Петербург,-1.0
7,3350000.0,40.4,2018-12-04T00:00:00,1,2.65,11.0,18.6,1,False,False,False,11.0,2.0,посёлок Шушары,81.0
10,5196000.0,56.0,2015-08-20T00:00:00,2,2.65,5.0,34.3,4,False,False,False,8.3,0.0,Санкт-Петербург,558.0
0,64900000.0,159.0,2015-07-24T00:00:00,3,2.65,14.0,100.46141479099677,9,False,False,False,20.42770838360029,0.0,Санкт-Петербург,424.0
2,10000000.0,100.0,2018-06-19T00:00:00,2,3.03,14.0,32.0,13,False,False,False,41.0,0.0,Санкт-Петербург,121.0
10,2890000.0,30.4,2018-09-10T00:00:00,1,2.65,12.0,14.4,5,False,False,False,9.1,0.0,городской посёлок Янино-1,55.0
6,3700000.0,37.3,2017-11-02T00:00:00,1,2.65,26.0,10.6,6,False,False,False,14.4,1.0,посёлок Парголово,155.0
5,7915000.0,71.6,2019-04-18T00:00:00,2,2.65,24.0,41.919658119658116,22,False,False,False,18.9,2.0,Санкт-Петербург,-1.0
20,2900000.0,33.16,2018-05-23T00:00:00,1,2.65,27.0,15.43,26,False,False,False,8.81,0.0,посёлок Мурино,189.00000000000003
18,5400000.0,61.0,2017-02-26T00:00:00,3,2.5,9.0,43.6,7,False,False,False,6.5,2.0,Санкт-Петербург,289.0
5,5050000.0,39.6,2017-11-16T00:00:00,1,2.67,12.0,20.3,3,False,False,False,8.5,0.0,Санкт-Петербург,137.0
9,3300000.0,44.0,2018-08-27T00:00:00,2,2.65,5.0,31.0,4,False,False,False,6.0,1.0,Ломоносов,7.0
10,3890000.0,54.0,2016-06-30T00:00:00,2,2.65,5.0,30.0,5,False,False,False,9.0,0.0,Сертолово,90.00000000000001
20,3550000.0,42.8,2017-07-01T00:00:00,2,2.56,5.0,27.0,5,False,False,False,5.2,1.0,Петергоф,366.00000000000006
1,4400000.0,36.0,2016-06-23T00:00:00,1,2.65,6.0,17.0,1,False,False,False,8.0,0.0,Пушкин,203.0
16,4650000.0,39.0,2017-11-18T00:00:00,1,2.65,14.0,20.5,5,False,False,False,7.6,1.0,Санкт-Петербург,19.0
11,6700000.0,82.0,2017-11-23T00:00:00,3,3.05,5.0,55.6,1,False,False,False,9.0,0.0,Санкт-Петербург,397.0
